# Functional-capacity implication scores for HPO terms.
# work = implication for inability to sustain competitive employment as an adult (0-3)
# care = implication for need of substantial daily personal assistance or supervision (0-3)
# 0 none  1 contributory  2 substantial  3 strongly implies on its own
# Scored on term semantics only, blind to disease labels. PROTOTYPE - to be replaced by clinician scores.
hp_id	label	work	care
HP:0001999	Abnormal facial shape	0	0
HP:0002719	Recurrent infections	1	1
HP:0001284	Areflexia	0	0
HP:0001344	Absent speech	3	2
HP:0000403	Recurrent otitis media	0	0
HP:0003487	Babinski sign	0	0
HP:0100543	Cognitive impairment	2	2
HP:0011220	Prominent forehead	0	0
HP:0000520	Proptosis	0	0
HP:0001371	Flexion contracture	1	1
HP:0001537	Umbilical hernia	0	0
HP:0002360	Sleep disturbance	1	1
HP:0000939	Osteoporosis	0	0
HP:0002027	Abdominal pain	1	0
HP:0000821	Hypothyroidism	0	0
HP:0000582	Upslanted palpebral fissure	0	0
HP:0010864	Severe intellectual disability	3	3
HP:0001276	Hypertonia	1	1
HP:0002151	Increased circulating lactate concentration	0	0
HP:0001639	Hypertrophic cardiomyopathy	1	0
HP:0000219	Thin upper lip vermilion	0	0
HP:0000490	Deeply set eye	0	0
HP:0002315	Headache	1	0
HP:0001336	Myoclonus	2	1
HP:0000164	Abnormality of the dentition	0	0
HP:0008936	Axial hypotonia	2	2
HP:0000718	Aggressive behavior	2	2
HP:0003326	Myalgia	1	0
HP:0000348	High forehead	0	0
HP:0000278	Retrognathia	0	0
HP:0000280	Coarse facial features	0	0
HP:0000248	Brachycephaly	0	0
HP:0002069	Bilateral tonic-clonic seizure	2	1
HP:0000303	Mandibular prognathia	0	0
HP:0008897	Postnatal growth retardation	0	0
HP:0001328	Specific learning disability	1	0
HP:0000054	Micropenis	0	0
HP:0001824	Weight loss	1	0
HP:0002120	Cerebral cortical atrophy	2	2
HP:0001513	Obesity	0	0
HP:0001518	Small for gestational age	0	0
HP:0000126	Hydronephrosis	0	0
HP:0002857	Genu valgum	0	0
HP:0000400	Macrotia	0	0
HP:0002110	Bronchiectasis	1	1
HP:0011675	Arrhythmia	1	0
HP:0000737	Irritability	0	1
HP:0007663	Reduced visual acuity	1	1
HP:0000726	Dementia	3	3
HP:0001943	Hypoglycemia	1	1
HP:0002098	Respiratory distress	2	2
HP:0000093	Proteinuria	0	0
HP:0031936	Delayed ability to walk	1	1
HP:0000568	Microphthalmia	1	0
HP:0000768	Pectus carinatum	0	0
HP:0000501	Glaucoma	1	0
HP:0000160	Narrow mouth	0	0
HP:0001561	Polyhydramnios	0	0
HP:0001638	Cardiomyopathy	2	1
HP:0000978	Bruising susceptibility	0	0
HP:0001644	Dilated cardiomyopathy	2	1
HP:0001596	Alopecia	0	0
HP:0000952	Jaundice	0	0
HP:0002353	EEG abnormality	0	0
HP:0002751	Kyphoscoliosis	1	1
HP:0002716	Lymphadenopathy	0	0
HP:0000926	Platyspondyly	0	0
HP:0002094	Dyspnea	2	1
HP:0002066	Gait ataxia	2	2
HP:0002540	Inability to walk	3	3
HP:0001274	Agenesis of corpus callosum	1	1
HP:0000823	Delayed puberty	0	0
HP:0030680	Abnormal cardiovascular system morphology	0	0
HP:0000154	Wide mouth	0	0
HP:0001369	Arthritis	1	1
HP:0002092	Pulmonary arterial hypertension	2	1
HP:0000664	Synophrys	0	0
HP:0001254	Lethargy	2	2
HP:0006532	Recurrent pneumonia	1	1
HP:0012385	Camptodactyly	0	0
HP:0003128	Lactic acidosis	1	1
HP:0001433	Hepatosplenomegaly	0	0
HP:0000752	Hyperactivity	1	1
HP:0000540	Hypermetropia	0	0
HP:0001387	Joint stiffness	1	0
HP:0003198	Myopathy	2	1
HP:0002827	Hip dislocation	1	1
HP:0001627	Abnormal heart morphology	0	0
HP:0000618	Blindness	3	2
HP:0001875	Decreased total neutrophil count	0	0
HP:0000276	Long face	0	0
HP:0002721	Immunodeficiency	1	1
HP:0008070	Sparse hair	0	0
HP:0001321	Cerebellar hypoplasia	2	2
HP:0001385	Hip dysplasia	1	0
HP:0008551	Microtia	0	0
HP:0030084	Clinodactyly	0	0
HP:0000819	Diabetes mellitus	1	1
HP:0002460	Distal muscle weakness	1	1
HP:0000613	Photophobia	1	0
HP:0000684	Delayed eruption of teeth	0	0
HP:0000958	Dry skin	0	0
HP:0000506	Telecanthus	0	0
HP:0000426	Prominent nasal bridge	0	0
HP:0000964	Eczematoid dermatitis	0	0
HP:0000293	Full cheeks	0	0
HP:0001298	Encephalopathy	3	3
HP:0000592	Blue sclerae	0	0
HP:0002714	Downturned corners of mouth	0	0
HP:0000322	Short philtrum	0	0
HP:0002960	Autoimmunity	1	0
HP:0000954	Single transverse palmar crease	0	0
HP:0000337	Broad forehead	0	0
HP:0000670	Carious teeth	0	0
HP:0001394	Cirrhosis	2	1
HP:0001268	Mental deterioration	3	3
HP:0007256	Abnormal pyramidal sign	1	1
HP:0000988	Skin rash	0	0
HP:0000319	Smooth philtrum	0	0
HP:0003693	Distal amyotrophy	1	1
HP:0000717	Autism	2	2
HP:0001653	Mitral regurgitation	0	0
HP:0002342	Moderate intellectual disability	2	2
HP:0000572	Visual loss	2	2
HP:0003701	Proximal muscle weakness	2	2
HP:0000411	Protruding ear	0	0
HP:0002878	Respiratory failure	3	3
HP:0000193	Bifid uvula	0	0
HP:0000678	Dental crowding	0	0
HP:0001942	Metabolic acidosis	1	1
HP:0008947	Floppy infant	1	1
HP:0011344	Severe global developmental delay	3	3
HP:0002936	Distal sensory impairment	1	0
HP:0000158	Macroglossia	0	0
HP:0000414	Bulbous nose	0	0
HP:0002024	Malabsorption	1	1
HP:0002553	Highly arched eyebrow	0	0
HP:0002167	Abnormal speech pattern	1	0
HP:0001397	Hepatic steatosis	0	0
HP:0000076	Vesicoureteral reflux	0	0
HP:0000268	Dolichocephaly	0	0
HP:0000510	Rod-cone dystrophy	2	1
HP:0002063	Rigidity	2	2
HP:0000483	Astigmatism	0	0
HP:0001159	Syndactyly	0	0
HP:0012368	Flat face	0	0
HP:0007957	Corneal opacity	1	0
HP:0003401	Paresthesia	1	0
HP:0000668	Hypodontia	0	0
HP:0001399	Hepatic failure	3	2
HP:0000020	Urinary incontinence	1	2
HP:0000689	Dental malocclusion	0	0
HP:0004279	Short palm	0	0
HP:0002017	Nausea and vomiting	1	0
HP:0001622	Premature birth	0	0
HP:0000324	Facial asymmetry	0	0
HP:0002099	Asthma	1	0
HP:0001310	Dysmetria	1	1
HP:0000135	Hypogonadism	0	0
HP:0002500	Abnormal cerebral white matter morphology	1	1
HP:0001634	Mitral valve prolapse	0	0
HP:0002188	Delayed CNS myelination	1	1
HP:0000204	Cleft upper lip	0	0
HP:0002757	Recurrent fractures	1	1
HP:0000341	Narrow forehead	0	0
HP:0000691	Microdontia	0	0
HP:0002321	Vertigo	1	0
HP:0001876	Pancytopenia	2	1
HP:0002104	Apnea	2	2
HP:0000989	Pruritus	0	0
HP:0001182	Tapered finger	0	0
HP:0001888	Decreased total lymphocyte count	0	0
HP:0000774	Narrow chest	0	0
HP:0000325	Triangular face	0	0
HP:0001297	Stroke	2	2
HP:0001319	Neonatal hypotonia	1	1
HP:0007141	Sensorimotor neuropathy	1	1
HP:0003394	Muscle spasm	1	0
HP:0000455	Broad nasal tip	0	0
HP:0002072	Chorea	2	2
HP:0002643	Neonatal respiratory distress	1	1
HP:0002028	Chronic diarrhea	1	1
HP:0002317	Unsteady gait	1	1
HP:0000709	Psychosis	3	2
HP:0001166	Arachnodactyly	0	0
HP:0010049	Short metacarpal	0	0
HP:0001751	Abnormal vestibular function	1	0
HP:0000969	Edema	0	0
HP:0000327	Hypoplasia of the maxilla	0	0
HP:0012735	Cough	0	0
HP:0002239	Gastrointestinal hemorrhage	1	0
HP:0000478	Abnormality of the eye	0	0
HP:0000581	Blepharophimosis	0	0
HP:0002194	Delayed gross motor development	1	1
HP:0001655	Patent foramen ovale	0	0
HP:0003155	Elevated circulating alkaline phosphatase concentration	0	0
HP:0002788	Recurrent upper respiratory tract infections	0	0
HP:0008404	Nail dystrophy	0	0
HP:0000574	Thick eyebrow	0	0
HP:0000212	Gingival overgrowth	0	0
HP:0000232	Everted lower lip vermilion	0	0
HP:0001773	Short foot	0	0
HP:0012471	Thick vermilion border	0	0
HP:0001363	Craniosynostosis	0	0
HP:0001531	Failure to thrive in infancy	1	1
HP:0002359	Frequent falls	2	2
HP:0002133	Status epilepticus	3	3
HP:0000992	Cutaneous photosensitivity	1	1
HP:0010783	Erythema	0	0
HP:0002162	Low posterior hairline	0	0
HP:0011923	Decreased activity of mitochondrial complex I	0	0
HP:0000430	Underdeveloped nasal alae	0	0
HP:0001680	Coarctation of aorta	0	0
HP:0100704	Cerebral visual impairment	2	2
HP:0001636	Tetralogy of Fallot	0	0
HP:0012758	Neurodevelopmental delay	2	2
HP:0000260	Wide anterior fontanel	0	0
HP:0003026	Short long bone	0	0
HP:0000733	Motor stereotypy	1	1
HP:0002465	Poor speech	2	1
HP:0001007	Hirsutism	0	0
HP:0002155	Hypertriglyceridemia	0	0
HP:0200042	Skin ulcer	1	1
HP:0000790	Hematuria	0	0
HP:0002705	High, narrow palate	0	0
HP:0000543	Optic disc pallor	1	0
HP:0001541	Ascites	1	1
HP:0000377	Abnormal pinna morphology	0	0
HP:0002354	Memory impairment	2	2
HP:0003477	Peripheral axonal neuropathy	1	1
HP:0002076	Migraine	1	0
HP:0004349	Reduced bone mineral density	0	0
HP:0100716	Self-injurious behavior	3	3
HP:0004315	Decreased circulating IgG concentration	0	0
HP:0002505	Loss of ambulation	3	3
HP:0008064	Ichthyosis	1	1
HP:0004313	Decreased circulating immunoglobulin concentration	0	0
HP:0000010	Recurrent urinary tract infections	0	0
HP:0001647	Bicuspid aortic valve	0	0
HP:0001645	Sudden cardiac death	1	0
HP:0012444	Brain atrophy	2	2
HP:0100749	Chest pain	1	0
HP:0001640	Cardiomegaly	0	0
HP:0001558	Decreased fetal movement	0	0
HP:0006824	Cranial nerve paralysis	2	1
HP:0000975	Hyperhidrosis	0	0
HP:0011108	Recurrent sinusitis	0	0
HP:0000179	Thick lower lip vermilion	0	0
HP:0001376	Limitation of joint mobility	1	1
HP:0003774	Stage 5 chronic kidney disease	3	2
HP:0002421	Poor head control	3	3
HP:0000527	Long eyelashes	0	0
HP:0001395	Hepatic fibrosis	1	0
HP:0001974	Increased total leukocyte count	0	0
HP:0012745	Short palpebral fissure	0	0
HP:0000565	Esotropia	0	0
HP:0000389	Chronic otitis media	0	0
HP:0000962	Hyperkeratosis	0	0
HP:0000509	Conjunctivitis	0	0
HP:0002187	Profound intellectual disability	3	3
HP:0012736	Profound global developmental delay	3	3
HP:0033454	Tube feeding	2	3
HP:0004887	Respiratory failure requiring assisted ventilation	3	3
HP:0002445	Tetraplegia	3	3
HP:0010550	Paraplegia	3	2
HP:0002373	Febrile seizure	1	0
HP:0001259	Coma	3	3
HP:0012332	Abnormal autonomic nervous system physiology	2	2
HP:0001266	Choreoathetosis	2	2
HP:0002071	Abnormality of extrapyramidal motor function	2	2
HP:0010862	Delayed fine motor development	1	1
HP:0002510	Spastic tetraplegia	3	3
