# comment: 'Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions. || REVIEW PROTOCOL. Reviewer: agent:claude-opus-5. Every row in this set was reviewed individually; no sampling. Each row carries reviewer_agreement (1.0 agree, 0.5 agree with reservations, 0.0 uncertain, -0.5 probably wrong, -1.0 definitely wrong) and curation_rule_text citing the rules the verdict rests on. Object identifiers were resolved against the target vocabulary rather than trusted from the input. CONFLATIONS PERMITTED: CM-005 (etiological vs phenomenological divergence) accepted only where cited per-row; no disease/phenotype conflation (CM-002) accepted; no CM-003, CM-006, CM-007 or CM-009 cases present. All 20 subjects are Mondo disease classes, so ST-006 holds throughout.. Curation rule registry: https://w3id.org/mondo/mapping-rules/ (core curation-rules.md plus the disease/phenotype pack rules-disease.md, family CM). NOTE: reviewer_agreement is a dev-spec SSSOM slot, absent from released sssom-schema 1.0.0; conformant parsers may drop the column. EVIDENCE CONSULTED: Mondo labels, exact synonyms, definitions, xrefs and hierarchical parents/children resolved live from EBI OLS4 (ontologies/mondo) on 2026-09-12; ICD-10-CM codes, current labels and full child lists resolved from the NLM Clinical Tables API (icd10cm/v3, FY2026 release); ICD-10 rubric inclusion notes read from the WHO ICD-10 2019 browser. Labels in the input file were NOT trusted and two were found stale (MONDO:0006835 is ''minimal change disease'', not ''lipoid nephrosis''; ICD10CM:D81.3 is now a category header, not the leaf ''Adenosine deaminase [ADA] deficiency''). SET-LEVEL DEFECTS: neither subject_source_version nor object_source_version is declared, so ST-003/ST-004 were checked against the current releases named above rather than a pinned version. ST-001 and ST-002 both clean: 20 distinct subjects, 20 distinct objects, no proxy or reverse proxy merges. NATURE OF THIS REVIEW: this is an AUTOMATED (AI) review by a language-model agent, NOT a human curator sign-off. It carries the same tier-3 status as the semapv:CompositeMatching rows it audits: EV-012 evidence, which does not by itself license a curated assertion. The 7 rows scored below 1.0 (one at -0.5, six at -1.0) REQUIRE HUMAN CONFIRMATION before the proposed predicate changes or rejections are acted on; they are flagged ''TBD:human-confirmation-required'' in issue_tracker_item. The 13 rows scored 1.0 are AI-endorsed proposals, not curated exact matches.'
# curie_map:
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# mapping_set_version: 2026-09-12
# object_source: infores:icd10cm
# subject_source: infores:mondo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment	reviewer_id	reviewer_agreement	curation_rule_text	issue_tracker_item
MONDO:0005045	hypertrophic cardiomyopathy	skos:exactMatch	ICD10CM:I42.1	Obstructive hypertrophic cardiomyopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	obstructive hypertrophic cardiomyopathy	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: reject. ICD10CM:I42.1 covers OBSTRUCTIVE hypertrophic cardiomyopathy only; non-obstructive HCM is I42.2 'Other hypertrophic cardiomyopathy', so the code is narrower than the Mondo class - which Mondo itself confirms by xrefing BOTH ICD10CM:I42.1 and ICD10CM:I42.2 on this term. The lexical tier matched the narrow Mondo synonym 'obstructive hypertrophic cardiomyopathy' rather than the primary label; skos:narrowMatch is the right predicate and no single ICD-10-CM code equals the subject.	agent:claude-opus-5	-1.0	maprule:SC-005 target finer than subject | maprule:PR-002 object is a subclass | maprule:EV-006 lexical similarity only	TBD:human-confirmation-required
MONDO:0005357	Creutzfeldt Jacob disease	skos:exactMatch	ICD10CM:A81.0	Creutzfeldt-Jakob disease	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	The residual sibling A81.09 is rejected, but the non-residual parent rubric A81.0 'Creutzfeldt-Jakob disease' is offered in the same list and its extension is exactly the CJD concept, subdivided only into unspecified (A81.00), variant (A81.01) and other (A81.09) forms; that is the same extension as the Mondo parent term for CJD, so the parent rubric, not the residual one, is the exact match. || REVIEW: confirmed, and the adjudication's reasoning survives checking. ICD10CM:A81.0 'Creutzfeldt-Jakob disease' subdivides only into A81.00 unspecified, A81.01 variant and A81.09 other CJD, all of which are CJD; the Mondo class correspondingly subsumes inherited (MONDO:0007403), sporadic (MONDO:0016079) and acquired (MONDO:0018686, which carries variant CJD) CJD, so the extensions coincide. Choosing the parent rubric over the residual sibling A81.09 was correct (SC-007, not SC-001).	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:SC-007 rubric coextensive with subject | maprule:EV-002 exact match on normalised label | maprule:PR-001 same real-world concept	
MONDO:0005508	hereditary multiple osteochondromas	skos:exactMatch	ICD10CM:Q78.6	Multiple congenital exostoses	semapv:CompositeMatching	claude-opus-5	0.8000	agentic_review			owl class	owl class	Q78.6 'Multiple congenital exostoses' is the ICD rubric for hereditary multiple osteochondromas (multiple cartilaginous exostoses), the same disease under descriptive naming. || REVIEW: confirmed. ICD10CM:Q78.6 'Multiple congenital exostoses' is a current leaf whose ICD-10 rubric inclusion is 'Diaphyseal aclasis'; that is the same disease as hereditary multiple osteochondromas, for which Mondo carries the exact synonyms 'multiple cartilaginous exostoses' and 'hereditary multiple exostoses'. The residual sibling Q78.8 'Other specified osteochondrodysplasias' takes everything else, so the extension is not inflated.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-009 definition comparison | maprule:PR-001 same real-world concept	
MONDO:0006292	malignant mesothelioma	skos:exactMatch	ICD10CM:C45	Mesothelioma	semapv:CompositeMatching	claude-opus-5	0.7000	agentic_review			owl class	owl class	C45 'Mesothelioma' is the ICD-10-CM rubric for malignant mesothelioma at every site (benign mesothelial tumours sit separately under D19), so the rubric denotes the same disease. || REVIEW: confirmed, and the malignancy claim checks out against the source. ICD10CM:C45 'Mesothelioma' carries the ICD-10 rubric inclusion 'morphology code M905 with behaviour code /3', and behaviour /3 IS malignant, so the category is malignant mesothelioma by definition; its children C45.0/C45.1/C45.2/C45.7/C45.9 are site variants only and benign mesothelial tumours sit at D19, so the extensions coincide. Caveat: C45 is a three-character category header, a valid and current ICD-10-CM identifier but not itself an assignable billing code.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:SC-007 rubric coextensive with subject | maprule:ST-003 object identifier must exist | maprule:PR-001 same real-world concept	
MONDO:0006835	lipoid nephrosis	skos:exactMatch	ICD10CM:N04	Nephrotic syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		lipoid nephrosis	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW: reject, and the subject_label in this file is stale - MONDO:0006835 is 'minimal change disease'; 'lipoid nephrosis' is one of its exact synonyms. ICD10CM:N04 is the entire nephrotic-syndrome category, subdivided into sixteen morphology-defined codes (N04.0 through N04.B2) of which minimal change disease is only one; the coextensive code is N04.0 'Nephrotic syndrome with minor glomerular abnormality', whose ICD index inclusion is lipoid nephrosis. As written the object is broader than the subject, so skos:narrowMatch; the fix is to re-point the row at ICD10CM:N04.0 and keep skos:exactMatch.	agent:claude-opus-5	-1.0	maprule:SC-005 target finer than subject | maprule:PR-002 object is a subclass | maprule:EV-003 exact match on exact synonym | maprule:ST-003 object identifier must exist	TBD:human-confirmation-required
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	skos:exactMatch	ICD10CM:D81.3	Adenosine deaminase [ADA] deficiency	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	adenosine deaminase deficiency	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: reject, and the object_label in this file is retired. ICD10CM:D81.3 is no longer the leaf 'Adenosine deaminase [ADA] deficiency' - current ICD-10-CM subdivides it into D81.30 ADA deficiency unspecified, D81.31 'Severe combined immunodeficiency due to adenosine deaminase deficiency', D81.32 'Adenosine deaminase 2 deficiency' and D81.39 other. D81.32 (DADA2) is a wholly distinct disease, so the category is broader than ADA-SCID; the exact code for this subject is D81.31 and the row should be re-pointed there, otherwise skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass | maprule:ST-003 object identifier must exist | maprule:EV-006 lexical similarity only	TBD:human-confirmation-required
MONDO:0007191	Behcet disease	skos:exactMatch	ICD10CM:M35.2	Behçet's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	behcet's disease	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label. || REVIEW: confirmed. ICD10CM:M35.2 'Behcet's disease' is a current leaf; the match came from the Mondo exact synonym 'Behcet's disease' after diacritic and possessive normalisation, and both transformations are declared in subject_preprocessing as EV-004 requires. Same disease, no extension difference.	agent:claude-opus-5	1.0	maprule:EV-004 match after declared lexical transformation | maprule:PR-001 same real-world concept	
MONDO:0007318	Alagille syndrome	skos:exactMatch	ICD10CM:Q44.71	Alagille syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		Alagille syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW: confirmed. ICD10CM:Q44.71 'Alagille syndrome' is a current leaf carrying the identical primary label; its siblings Q44.70 'unspecified' and Q44.79 'Other congenital malformations of liver' are the residual rubrics and were correctly not chosen. Strongest evidence class in the set.	agent:claude-opus-5	1.0	maprule:EV-001 exact match on primary label | maprule:PR-001 same real-world concept	
MONDO:0007404	Cri-du-chat syndrome	skos:exactMatch	ICD10CM:Q93.4	Deletion of short arm of chromosome 5	semapv:LexicalMatching	rdi-lexmatch	1.0000		Cri-du-chat syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW: confirmed. ICD10CM:Q93.4 'Deletion of short arm of chromosome 5' is a current leaf whose ICD-10 rubric inclusion is 'Cri-du-chat syndrome', and Mondo carries '5p deletion syndrome', 'chromosome 5p deletion syndrome' and 'deletion 5p' as exact synonyms of the subject; the cytogenetic and eponymous names denote one concept, and other partial deletions go to Q93.5.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
MONDO:0007405	Crouzon syndrome	skos:exactMatch	ICD10CM:Q75.1	Craniofacial dysostosis	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	craniofacial dysostosis	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: confirmed. ICD10CM:Q75.1 'Craniofacial dysostosis' is a current leaf whose ICD-10 rubric inclusion is 'Crouzon disease', and 'craniofacial dysostosis' is itself an exact synonym of Crouzon syndrome in Mondo. Noted but not disqualifying: the rubric label reads broader than Crouzon in general nosology, yet ICD-10-CM's Q75.1 extension is the Crouzon rubric - mandibulofacial and oculomandibular dysostoses have their own codes (Q75.4, Q75.5) and Q75.8 takes other specified skull and face malformations.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	skos:exactMatch	ICD10CM:I67.850	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800		CADASIL	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym. || REVIEW: I67.850 'Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL)' is restricted to the autosomal dominant form, but MONDO:0007432 also subsumes two autosomal recessive children (MONDO:0010829 and MONDO:0979867, i.e. CARASIL, which ICD-10-CM codes to I67.858 'Other hereditary cerebrovascular disease'), while Mondo's own exact synonyms 'CADASIL' and the autosomal-dominant expansion assert the opposite; the call is genuinely unsettled and needs a Mondo-side decision on whether MONDO:0007432 is CADASIL or the inheritance-agnostic grouping.	agent:claude-opus-5	0.0	maprule:EV-003 exact match on exact synonym | maprule:EV-008 hierarchical corroboration | maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-001 same real-world concept	needs-human-confirmation
MONDO:0007492	early-onset generalized limb-onset dystonia	skos:exactMatch	ICD10CM:G24.1	Genetic torsion dystonia	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	dystonia musculorum deformans	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: G24.1 'Genetic torsion dystonia' abstracts over all familial and idiopathic torsion dystonias (inclusions 'Familial torsion dystonia', 'Idiopathic familial dystonia', 'Idiopathic (torsion) dystonia NOS'), whereas MONDO:0007492 is the single TOR1A/DYT1 subtype, so 'dystonia musculorum deformans' is only an index inclusion under a broader rubric; skos:broadMatch is the correct predicate.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:SC-006 subtype under type-agnostic rubric | maprule:SC-002 'unspecified' or 'excluding X' rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0007522	Ehlers-Danlos syndrome, classic type	skos:exactMatch	ICD10CM:Q79.61	Classical Ehlers-Danlos syndrome	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	Q79.61 'Classical Ehlers-Danlos syndrome' denotes the same entity as Ehlers-Danlos syndrome classic type; 'classical' versus 'classic' is spelling style. || REVIEW: Q79.61 'Classical Ehlers-Danlos syndrome' is coextensive with MONDO:0007522, whose only children are classic type 1 and type 2 (COL5A1/COL5A2), and Mondo carries 'classical Ehlers-Danlos syndrome' as an exact synonym, so the 'classical'/'classic' difference is orthographic.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:SC-007 rubric coextensive with subject | maprule:PR-001 same real-world concept	
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	skos:exactMatch	ICD10CM:Q79.63	Vascular Ehlers-Danlos syndrome	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	Q79.63 'Vascular Ehlers-Danlos syndrome' denotes the same disease, since vascular EDS is autosomal dominant by definition and the Mondo label merely states that inheritance explicitly. || REVIEW: Q79.63 'Vascular Ehlers-Danlos syndrome' is inheritance-agnostic and therefore corresponds to MONDO:0017314 'Ehlers-Danlos syndrome, vascular type', not to the autosomal dominant subtype MONDO:0007524 which has the autosomal recessive sibling MONDO:0002014; the object is broader than the stated subject, so this should be skos:broadMatch and the exact match should be re-subjected to MONDO:0017314.	agent:claude-opus-5	-0.5	maprule:EV-012 automated adjudication over retrieved candidates | maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
