# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_version: 2026-09-12
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# subject_source: infores:mondo
# object_source: infores:icd10cm
# comment: Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment
MONDO:0010012	autoimmune polyendocrinopathy type 2	skos:exactMatch	ICD10CM:E31.0	Autoimmune polyglandular failure	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	schmidt's syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0010079	Canavan disease	skos:exactMatch	ICD10CM:E75.28	Canavan disease	semapv:LexicalMatching	rdi-lexmatch	1.0000		Canavan disease	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0010083	succinic semialdehyde dehydrogenase deficiency	skos:exactMatch	ICD10CM:E72.81	Disorders of gamma aminobutyric acid metabolism	semapv:LexicalMatching	rdi-lexmatch	0.9800		4-hydroxybutyric aciduria	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0010088	mucosulfatidosis	skos:exactMatch	ICD10CM:E75.26	Sulfatase deficiency	semapv:CompositeMatching	claude-opus-5	0.7000	agentic_review			owl class	owl class	E75.26 'Sulfatase deficiency' is the ICD-10-CM rubric under which multiple sulfatase deficiency (Austin disease/mucosulfatidosis) is classified, single-sulfatase disorders such as metachromatic leukodystrophy having their own code, so the rubric denotes the same disease under a shortened name.
MONDO:0010134	Pendred syndrome	skos:exactMatch	ICD10CM:E07.1	Dyshormogenetic goiter	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	pendred's syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0010193	Weaver syndrome	skos:exactMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	semapv:LexicalMatching	rdi-lexmatch	1.0000		Weaver syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0010383	fragile X syndrome	skos:exactMatch	ICD10CM:Q99.2	Fragile X chromosome	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	fragile x syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0010526	Fabry disease	skos:exactMatch	ICD10CM:E75.21	Fabry (-Anderson) disease	semapv:CompositeMatching	claude-opus-5	0.9800	agentic_review			owl class	owl class	E75.21 'Fabry (-Anderson) disease' names exactly the same alpha-galactosidase A deficiency disease as the Mondo term, with the Anderson eponym being house-style naming of the same entity.
MONDO:0010619	X-linked dominant hypophosphatemic rickets	skos:exactMatch	ICD10CM:E83.31	Familial hypophosphatemia	semapv:LexicalMatching	rdi-lexmatch	0.9310	base_normalization|comma_inversion	vitamin d-resistant rickets	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0010627	X-linked lymphoproliferative syndrome	skos:exactMatch	ICD10CM:D82.3	Immunodeficiency following hereditary defective response to Epstein-Barr virus	semapv:LexicalMatching	rdi-lexmatch	0.8800	base_normalization|syndrome_to_disease	x-linked lymphoproliferative disease	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0010645	oculocerebrorenal syndrome	skos:exactMatch	ICD10CM:E72.03	Lowe's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	lowe's syndrome	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0010703	ornithine carbamoyltransferase deficiency	skos:exactMatch	ICD10CM:E72.4	Disorders of ornithine metabolism	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	ornithine transcarbamylase deficiency	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0010714	Pelizaeus-Merzbacher spectrum disorder	skos:exactMatch	ICD10CM:E75.27	Pelizaeus-Merzbacher disease	semapv:LexicalMatching	rdi-lexmatch	0.9800		Pelizaeus-Merzbacher disease	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0010726	Rett syndrome	skos:exactMatch	ICD10CM:F84.2	Rett's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	rett's syndrome	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0010771	histiocytoid cardiomyopathy	skos:exactMatch	ICD10CM:I42.4	Endocardial fibroelastosis	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	congenital cardiomyopathy	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0010788	Leber hereditary optic neuropathy	skos:exactMatch	ICD10CM:H47.22	Hereditary optic atrophy	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	leber's optic atrophy	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0011429	juvenile idiopathic arthritis	skos:exactMatch	ICD10CM:M08	Juvenile arthritis	semapv:CompositeMatching	claude-opus-5	0.9000	agentic_review			owl class	owl class	ICD-10-CM M08 'Juvenile arthritis' is the rubric for the same disease; 'idiopathic' versus the ICD wording is naming style, not a difference in extension.
MONDO:0011479	postural orthostatic tachycardia syndrome	skos:exactMatch	ICD10CM:G90.A	Postural orthostatic tachycardia syndrome [POTS]	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	postural orthostatic tachycardia syndrome	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0011612	glycine encephalopathy	skos:exactMatch	ICD10CM:E72.51	Non-ketotic hyperglycinemia	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	non-ketotic hyperglycinemia	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0011652	Phelan-McDermid syndrome	skos:exactMatch	ICD10CM:Q93.52	Phelan-McDermid syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		Phelan-McDermid syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0011724	encephalopathy due to GLUT1 deficiency	skos:exactMatch	ICD10CM:E74.810	Glucose transporter protein type 1 deficiency	semapv:LexicalMatching	rdi-lexmatch	0.8624	base_normalization|disease_to_syndrome	de vivo syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0011758	Hurler syndrome	skos:exactMatch	ICD10CM:E76.01	Hurler's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	hurler's syndrome	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0011760	Scheie syndrome	skos:exactMatch	ICD10CM:E76.03	Scheie's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	scheie's syndrome	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
